trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,violation state
239,False,"{'a': 0.7, 'e': 0.064684622735315084}",30,17,21.032392197969724,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
240,False,"{'a': 0.7, 'e': 0.064549722436790274}",20,0,33.54477755735807,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0,[]
241,False,"{'a': 0.7, 'e': 0.064415662640083082}",35,17,5.937012639720841,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1,"[('forward', 'green', 'forward', None, None)]"
242,False,"{'a': 0.7, 'e': 0.064282434653322507}",20,0,-20.889165983333257,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0,"[('right', 'red', 'left', 'forward', 'left'), ('right', 'red', 'left', None, 'left')]"
243,False,"{'a': 0.7, 'e': 0.064150029909958411}",25,1,-21.81548317838717,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1,"[('forward', 'red', 'left', None, None), ('left', 'red', None, None, 'forward')]"
244,False,"{'a': 0.7, 'e': 0.064018439966447988}",25,7,30.103216105919433,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
245,False,"{'a': 0.7, 'e': 0.063887656499993992}",30,10,-2.6012324354429825,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1,"[('left', 'green', 'right', 'left', 'forward'), ('left', 'red', 'left', 'right', 'right')]"
246,False,"{'a': 0.7, 'e': 0.063757671306333821}",25,6,29.358597135821768,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
247,False,"{'a': 0.7, 'e': 0.063628476297577771}",20,3,26.02233438208115,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
248,False,"{'a': 0.7, 'e': 0.063500063500095252}",25,12,19.738548752859373,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
249,False,"{'a': 0.7, 'e': 0.063372425052447792}",25,0,-23.363176961938315,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0,"[('right', 'red', 'forward', 'forward', None), ('right', 'green', 'forward', 'right', 'forward')]"
250,False,"{'a': 0.7, 'e': 0.063245553203367583}",30,18,13.376201391462235,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1,"[('left', 'green', 'right', 'left', 'forward')]"
251,False,"{'a': 0.7, 'e': 0.063119440309780311}",20,0,9.149330154738351,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0,"[('forward', 'red', 'forward', None, None), ('left', 'red', 'left', 'left', 'right')]"
252,False,"{'a': 0.7, 'e': 0.062994078834871195}",20,3,20.290211725220743,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1,"[('right', 'green', 'forward', None, None)]"
253,False,"{'a': 0.7, 'e': 0.062869461346193145}",25,14,-0.477508594686614,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1,"[('forward', 'red', 'forward', 'right', 'forward')]"
254,False,"{'a': 0.7, 'e': 0.06274558051381586}",20,0,27.62236647559158,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0,[]
255,False,"{'a': 0.7, 'e': 0.062622429108514954}",20,0,29.065334593066062,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0,[]
256,False,"{'a': 0.7, 'e': 0.0625}",25,20,10.531729212774174,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
257,False,"{'a': 0.7, 'e': 0.062378286155180533}",20,13,14.436456803293494,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
258,False,"{'a': 0.7, 'e': 0.062257280636469035}",30,10,31.236515883418477,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
259,False,"{'a': 0.7, 'e': 0.062136976600120006}",30,16,2.1808072665069984,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1,"[('forward', 'green', 'forward', None, 'right')]"
260,False,"{'a': 0.7, 'e': 0.062017367294604234}",20,9,20.136984342148352,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
261,False,"{'a': 0.7, 'e': 0.061898446059017294}",25,5,11.401531610702726,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1,"[('forward', 'red', None, None, None), ('right', 'red', None, None, None)]"
262,False,"{'a': 0.7, 'e': 0.061780206321521543}",20,13,1.6967625854480008,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1,"[('right', 'red', 'left', None, 'right')]"
263,False,"{'a': 0.7, 'e': 0.061662641597820735}",30,13,-14.990622356763055,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1,"[('left', 'red', None, 'forward', None)]"
264,False,"{'a': 0.7, 'e': 0.061545745489666362}",25,17,13.694927643512802,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
265,False,"{'a': 0.7, 'e': 0.061429511683395117}",20,9,17.39291439042388,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
266,False,"{'a': 0.7, 'e': 0.061313933948496581}",30,4,-43.22586130520511,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 2}",1,"[('left', 'red', 'right', 'forward', 'left'), ('left', 'red', None, None, 'forward')]"
267,False,"{'a': 0.7, 'e': 0.06119900613621046}",20,10,18.85981325100127,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
268,False,"{'a': 0.7, 'e': 0.061084722178152612}",20,13,15.020255516778796,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
269,False,"{'a': 0.7, 'e': 0.060971076084969232}",20,0,19.279409619547483,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1,"[('right', 'red', None, None, None)]"
270,False,"{'a': 0.7, 'e': 0.060858061945018457}",20,0,30.32005751286387,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0,[]
271,False,"{'a': 0.7, 'e': 0.060745673923078697}",35,0,52.43655396599659,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0,[]
272,False,"{'a': 0.7, 'e': 0.060633906259083242}",25,16,15.261798073071546,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
273,False,"{'a': 0.7, 'e': 0.060522753266880246}",25,5,35.338093744182586,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
274,False,"{'a': 0.7, 'e': 0.060412209333017698}",20,6,13.10609632172079,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1,"[('left', 'green', 'right', 'forward', None)]"
275,False,"{'a': 0.7, 'e': 0.060302268915552716}",30,10,-13.154817774272752,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1,"[('forward', 'red', 'forward', 'right', 'forward'), ('left', 'red', 'left', None, 'right')]"
276,False,"{'a': 0.7, 'e': 0.060192926542884599}",20,12,13.838930954823137,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
